name,email,website,phone,address,sent
Jin Jiang Express,,,+33 4 91 78 77 01,,non
Massena,info@website.com,https://massenacafe.com/,,1 Avenue Jules Cantini,non
La Source de Jade,,,,3,non
Papà Fredo,,,,,non
Lotus Express,,,,,non
Lacaille Restaurant,,,,,non
Brasserie la Joliette,,,,,non
Au pagalio,,,,,non
Chez Mama Africa,,,,,non
Le Colysée,,,,,non
El Paseo,,,,,non
Gin Khao,,https://ginkhao.fr/,,Marseille,non
Rajasthan,,,,,non
Le jardin d'à côté,,https://www.lejardindacote.com/,,65 Marseille,non
Côté Cours,,https://www.bistronomie-yasmine.fr,+33973175510,79 Cours Julien,non
Il Caffe,,,,,non
Hôtel Kyriad,,,,,non
La Ferme,,,,,non
Yamato,,https://yamatoresto.fr/,,,non
L'Alegria,,,,139,non
Déjeuner en Ville,,,,,non
Le Miramar,,,,,non
Madie Les Galinettes,,,,,non
Trattoria Marco,,,,,non
Le Poulpe,,,,,non
Le Disque Bleu,,,,,non
Au Bout du Quai,,https://au-bout-du-quai-marseille.eatbu.com/?lang=fr&bit.ly%2Fabdq-g-sw=,+33491995336,1 Avenue Saint-Jean Marseille,non
La Cuisine au Beurre,,,,,non
So... Marseille,,,,,non
Chez Soi,hamzachater@free.fr,https://chez-soi-marseille.eatbu.com/,,5,non
La Goulette,,,,,non
Ko-Ishi,,,+33 4 91 04 64 10,25 Marseille,non
Les Panisses,,http://lespanisses.fr,,23 Marseille,non
La Part des Anges,,,,,non
Marcello,,,,29,non
La Voile De Marco,,,,116,non
Entre Terre et Mer,,https://lafourchette.com/,+33491351159,13,non
Au coeur du Panier,,,,18,non
Le Hippie Chic Café,,,+33 4 91 44 65 85,2 Boulevard Jacques Saadé Quai de la Joliette Marseille,non
Le Clan Les Cigales,,,,8,non
Les Mets des Saintes,,http://www.restaurantlartmonia.com/,,,non
Maurice,,https://www.maurice-marseille.com/fr,,,non
Pulcinella,,http://www.lapulcinella.com/,,9-11,non
Au Falafel,,https://www.aufalafel.com/,,5 Marseille,non
Le Mas,,,,,non
L'Origan,,,,149 Marseille,non
La Table de Guy,latabledeguy@hotmail.fr,,+33 4 91 05 93 57,145 Marseille,non
L'Ecailler,,,,,non
La Terrasse du Panier,,,,,non
Soir d'Asie,,,,,non
Comptoir des Docks,,,,,non
Dock of the Bay,,http://www.restaurant-marseille-dockofthebay.fr/,,35,non
Brocéliande,,,,,non
Le Cours,,,,30,non
Fuxia l'épicerie,,,,,non
L'annexe,,,,,non
L'esquinade,,,,,non
Le Côte de Boeuf,,,,,non
Les 5 continents,,,,,non
Ginseng,,,,,non
Les plaisirs de l'orient,,,,,non
Bouillant,,,,,non
Rice Street Vieux Port,contact@ricestreet.fr,https://www.ricestreet.fr/,+33 955961837,20 Rue de la Paix Marcel Paul,non
La Kahena,,,+33 4 91 90 61 93,,non
Le ventre de l'architecte,,,,,non
Le Fair Play,,,,,non
L’atelier des Artistes,,,,,non
Snack Pizzeria Notre-Dame,,,,,non
Debussy,,,,,non
Bistrot l'Horloge,bistrotlhorloge@gmail.com,https://bistrotlhorloge.eatbu.com,+33 4 88 08 33 03,11 Cours d'Estienne d'Orves Marseille,non
Le Phonographe,,,,,non
Le Pointu,,,,,non
Polikarpov,,https://lepolikarpov.com/,,,non
O'sud,,,,,non
Beans Marseille Brunch,maps-beans@2x.jpg,https://beansmarseille.com/,+33744883135,13 Place Notre-Dame-du-Mont Marseille,non
Le Commodore,,http://www.restaurant-glacier-lecommodore.com/,,,non
O FANETTE,,,+33785553326,11 Place Notre-Dame-du-Mont Marseille,non
Matza,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.matza.fr/,+33 4 91 53 70 65,13 Place Notre-Dame-du-Mont Marseille,non
Les Tamaris,,https://www.restaurantlestamaris.com/,,40 Boulevard de la Calanque de Samena Marseille,non
ID Fixe,,,,,non
L'Escalié,,,,,non
La Bella Pizza,,,,,non
WOOD La Cantine Gourmande,,,,8,non
Aux Demoiselles du Mont,,,,,non
L'Oli Bé,,,,14 Marseille,non
Brasserie Le Terminus,,,,,non
Maison Campo,,,,,non
Mk's African kitchen,,,+33 7 53 60 99 22,153,non
Label'Ferme,,https://www.rotisserie-labelferme.fr/,+33 4 91 73 27 03,88,non
Bar Manolo,,,,12 Marseille,non
Le Kaliente,,,,,non
Brasserie La Suite,,,,,non
Le Balagan,hello@centralapp.com,https://balagan-marseille.fr/,,99,non
La Rizière,,,+33 4 91255451,113,non
Le Café Thai,lecafethai@gmail.com,https://lecafethai.fr,+33 4 91 25 44 45,136,non
Le 163,,,+33 4 91 25 05 91,163,non
Casanostra,,,,195,non
Nguyen Hoang,,,,6 Marseille,non
New Dalat,,,,3 Marseille,non
Love sushi,,,,,non
Le jardin,,,,,non
L'Odyssée,,,,,non
L'Algéroise,,,,,non
Rafraf,,,,,non
Les Grandes Tables,friche@lesgrandestables.com,https://www.lafriche.org/la-friche/lieux/les-grandes-tables/,,,non
Maloca,,,+33 6 06 46 46 75,47 Rue Fortuné Jourdan Marseille,non
Bistrot Alexandre,,,,,non
Le New Barroco,,,,,non
L’EFL Café,,,,,non
Le Rostand,,,,,non
Le Bouchon Provençal,,,,,non
L'Oxford,,,,,non
La Table d'Augustin,,http://www.latabledaugustin.fr/,,,non
Dayo,,,,40a Marseille,non
Chez Angèle,,,,50 Marseille,non
Ristorante Del Arte,,https://www.delarte.fr/restaurant-italien-pizzeria-marseille-vieux-port.html,+33496111002,31 Marseille 1er Arrondissement,non
Waroeng Bali,,https://waroengbali.com/,+33 4 91 48 04 16,15 Marseille,non
Le Yen Seiiki,,http://www.leyenprado.fr/,+33 4 91 53 00 09,,non
Sushi Sashimi,,,+33 4 91 64 47 82,12 Avenue Frédéric Chevillon Plan-de-Cuques,non
Le Pacifique,,https://www.lepacifique.fr/,,,non
Les Muriers,,,,,non
Bar Marseillais,,,,,non
Pizza La Juliana,,,+33 4 91 75 10 04,,non
Pizza La Patronne,pizzerialapatronne@gmail.com,https://lapatronne.eatbu.com/,+33 7 89 07 70 79,,non
Nem de la Millière,,,,Boulevard de la Millière Marseille,non
Tan A,contact.mijatana@gmail.com,https://www.restaurant-tana.com/,+33 4 42 03 16 21,1 Avenue Alice Aubagne,non
Black Angus,,,,195 Route des Trois Lucs à La Valentine Marseille,non
Black & White,,,,,non
Le 444,,,,,non
Le Dessus du Panier,,,,,non
Le Comptoir d'Endoume,,,,33 Rue d'Endoume Marseille,non
Du côté d'Antalia,,,,,non
Restaurant UCPA (niv. -1),,,,,non
La Table Cinq,,http://www.latable5.com/,+33 4 91 34 85 22,13 Marseille,non
SuandShi,,,,Marseille,non
Il Cuoco,,,,5 Marseille,non
Vinoneo,,http://www.vinoneo.fr/,+33 4 91 90 40 26,6 Marseille,non
Toma,,,,19 Marseille,non
Brasserie de la Poste,,,,,non
Le Vargas,,,,,non
Chez L'Oncle,,,,,non
El Chourouk,,,,,non
El-Bahdja,,,,,non
Trois Etoiles du Lyon,,,,,non
Le Cyberyann Café,,,,,non
Al dente,,,,,non
Fraîcheur d'Asie,,,,,non
Le Félicie,,,,,non
Le Petit Caboulot,,,,,non
Chez Sylvie,,,,,non
Hoki Sushi,,,,,non
Le Comptoir Dugommier,contact@comptoirdugommier.fr,http://comptoirdugommier.fr,,,non
Les Babines de Mars,,http://paa.ge/lesbabinesdemars.fr,+33491076136,135 Rue Consolat,non
Wake Up,,,,,non
Le Terroir Corse,,,,,non
Baskawaï,,,,4 Marseille,non
Pizza Gégé,,,,,non
Les délices de Rania,,,,,non
Green Bear Coffee,contact@greenbearcoffee.com,https://www.greenbearcoffee.com/,,123 Marseille,non
l'Arôme,,http://www.flashtaville.com/restaurants/marseille06/l-arome.html#_=_,+33491428880,9,non
Le Bar à Vrac,,https://baravrac.com/,,,non
La Bolognaise,,,,,non
Restaurant Anatolie,,,,,non
Urbanfood,,,,Avenue de la Rose Marseille,non
Le Palais d'Asie,,https://www.lepalaisdasiemarseille.fr/,+33 4 91 76 10 03,33 Boulevard Luce,non
Le Petit Naples,,,,,non
Lou Chambri,,http://www.louchambri.com/,,,non
Da Paolo,,http://www.dapaolo.fr/,,,non
O'Bistrot d'Arménie,,,,,non
L'Esplaï du Grand Bar des Goudes,jean@exemple.fr,http://www.grandbardesgoudes.fr,+33 4 91734369,,non
Restaurant Saf Saf,,,,,non
Côté Rue,,,+33 4 91 90 66 36,,non
Oscar's bagels,,,,8 Marseille,non
Bar le Berlioz,,,,37 Marseille,non
Snack Pizzeria L'Arche,,,,,non
Bar Nautic,,http://www.tripadvisor.fr/Restaurant_Review-g187253-d2337008-Reviews-or10-Nautic_Bar-Marseille_Bouches_du_Rhone_Provence.html#REVIEWS,,,non
Le palais de la major,,,,,non
Casa Consolat,,http://casaconsolat.org/,+33 9 52 91 66 99,1 Marseille,non
Pizza Sandwichs,,,,,non
Gerarh,,https://gerarh.fr/,,,non
Snack de La Pomme,,,,,non
L'Orchidée,,,,,non
Le Classico,,,,,non
Chez Paul,,,,,non
Brasserie L'Embarcadère,,http://www.brasserielembarcadere.fr/,,Place Albert Londres Marseille,non
Le Saint-Giniez,,,,,non
Brasserie O' Parc,contact@brasserieoparc.fr,https://www.brasserieoparc.fr/,,,non
Sur le pouce,,,,,non
Les Saveurs du Falafel,,,,,non
EasySushi,,,,,non
Délices de Baille,,,,,non
L'Antre 2,,,,,non
Hailo,,,,,non
L'Étoile de Beyrouth,,,,,non
Pizza Marius,,,,,non
Hong Kong 2,,,,,non
Chez Lili,,,,11 Marseille,non
La Marine des Goudes,,,,,non
Royal Asia,,,,,non
La Solelade,,,,,non
L'Escapade,,,,,non
Le petit plat,,,,,non
La Fontaine,,,,,non
Corner café,,,,,non
Brasserie Glacier Le Cortes,,,,,non
Le Régent,,,,,non
Chez Paulette,,,,,non
Dayeon,,,+33 6 95 12 47 93,4 Marseille,non
Modern Sushi,,,,,non
Urban Kitchen,sales@nicsell.com,https://www.urban-kitchen.fr/,+33 4 96 12 00 86,,non
L'Olympe,,,+33 4 91 26 02 60,28 Marseille,non
Brasserie-tabac du rond point,,,,,non
Le Bistrot à Vin,,,,,non
Lilin,,www.lilin-raviolis.com,+33 4 91 56 59 66,,non
Spok,contact@spok.fr,https://www.spok.fr/,+33 4 91 55 64 24,7 Marseille,non
Bar Restaurant des Chutes Lavie,,,,,non
Kuai Le Express,,,,,non
La Folle Epoque,,,,10 Marseille,non
Ezio,,,,12 Marseille,non
Grand Bar Pierre,,,,16 Marseille,non
La Marmite,,,,,non
Snack Pizzeria Rama,,,,,non
L'Entre Pots,,,,,non
L'Actuel,,,,,non
Le Centuple,,,,23 Allée Léon Gambetta,non
Golda,,,+33 6 79 05 06 88,Marseille,non
Mésopotamie Restaurant,,,,,non
Le Fantastique,,,,,non
Ô lapin blanc,,,,,non
Chez Michel,,https://www.restaurant-michel-13.fr/,+33 4 91 52 64 22,6 Marseille,non
La Vieille Pelle,,,+33 4 91 90 62 00,39 Marseille,non
Le Quai du 7ème,,,,38 Marseille,non
Kaboul Fast Food,,,,,non
point chaud traiteur,,,,,non
Le Moga,,,,,non
Ô ha noi,,,,,non
Meo Midnight,,,,,non
Restaurant de la Cité de la Cosmétique,,,,,non
Une table au sud,unetableausud@wanadoo.fr,https://www.unetableausud.com/,+33 4 91 90 63 53,2 Marseille,non
l'Alcyone,,,,1 Marseille,non
Tako-San,,,+33617620019,36 Marseille,non
Okaäsan,okaasan13@free.fr,,+33665755622,9,non
Taste,contact@tasterestaurant.fr,http://tasterestaurant.fr/,+33491695723,151 Marseille,non
Le Paki,,,,51 Place Jean Jaurès Marseille,non
Restaurant Du Centre Equestre,,,,,non
Hippopotamus Marseille la Valentine,,https://restaurant.hippopotamus.fr/restaurant/marseille-la-valentine/143,+33491879690,,non
Restaurant la Rouvière,,,,,non
Seven Set Park,,http://www.seven7park.fr/,,,non
L'Étincelle,,,,,non
La Plage,,,,,non
La Rade,,,,,non
Le Duplex,,,,,non
Bar Restaurant La Corsoise,,,,,non
Les Saveurs du Sénégal,,,,,non
Chez Youcef,,,,,non
Fidèle,nom@domain.com,https://fidele-restaurant-marseille.fr/,,29,non
Le monumental,,,,,non
Ghomrassen,,,,,non
L'Argentin Grill,resa@argentin-grill.com,http://www.argentin-grill.com/,+33 491 789 565,2 Marseille,non
Cesar Place,,,,,non
Le Sri Ganesh,,https://www.sriganesh.fr/,+33 4 91 33 09 15,,non
Travers,,,,,non
Le Nam Viet,,,,,non
Paule et Kopa,,,,,non
La Crêpe au Carré,lacrepeaucarre@hotmail.fr,http://lacrepeaucarre.com,+33 4 91 55 52 39,,non
Le Bistrot des Dames,,,,,non
Le Bon Burger,,,,,non
Prosper,,,,,non
La Poissonnerie,,,,85,non
Restaurant de l'UNM,,,+33491528098,34,non
Les Buffets du Vieux-Port,,https://www.lesbuffetsduvieuxport.com/,,158 Marseille,non
Chez riz,,https://www.chezriz-marseille.fr/,+33 4 91 35 16 13,23 Marseille,non
Chez Ze,,https://www.chez-ze.com/,+33 4 91 40 05 44,,non
Pizza 26,,,,,non
Le Petit Pernod,,,,,non
L'Hyppocampe,,,,,non
Le Petit Nice Passedat,contact@passedat.fr,,+33491592592,17 Marseille,non
Le Levant,,https://www.lamanne.fr/,+33 4 91 08 77 39,18 Boulevard de la Liberté,non
Tapas Rojas,,,+33 7 51 30 99 30,,non
Aux Antipodes,,,+33 6 52 74 97 44,26,non
L'évidence,,,+33 4 91 24 43 84,2,non
La Table du Fort,,https://www.latabledufort.fr/,+33 4 91 33 97 65,8,non
Dilatante,,,+33 6 99 62 80 81,,non
L'Effet Clochette,,,,,non
Potala Korner,,,,5 Marseille,non
Le Tchitchou,,,+33491692386,,non
Chez Yassine,utilisateur@domaine.com,https://www.chezyassine.com/,,8a Rue d'Aubagne Marseille,non
Le Club,,,,,non
L'inattendu,,,,,non
Le Need's,,,,,non
Le Blanc Bleu,,,,,non
Bebelito,,,,,non
La Baie du Dragon,,,+33491927478,8,non
Santa Gusto,,,,,non
Negresko,,,,,non
Le Tchap’s,,,,,non
Restaurant de la Renaissance,,,,,non
Rodizio Brazil,,,,,non
Double Cuisson,,,,,non
Shuriken Sushi,,,+33 4 91 37 25 11,137 Rue de Rome,non
Pizza Béa,,,,,non
La Maison Toscane,,,,,non
Le 44,,,,,non
Ambassade de Bretagne,,,,,non
Le Taj,,https://restaurant-letaj.com/,+33 4 42 03 70 53,2 Avenue des Platanes Aubagne,non
Les enfants gâtés,contact@lesenfantsgates.net,https://www.lesenfantsgates.net,+33 4 42 73 00 19,2435 Route de la Légion Aubagne,non
Shanghai Kitchen,,https://www.facebook.com/ShanghaiKitchen/,,,non
Café de lla Place,,,,,non
Délicia Pizza,,,+33 6 62 18 81 39; +33 9 75 24 27 55,,non
La Table Marseillaise,,,,Impasse Ramelle,non
Les Mezzés,,,,,non
Le Fil à la Pâte,,,,,non
La Table d'Arménie,,,,29,non
Baie d'Along,,,,16,non
Restauran farafina,,,,142 Aubagne,non
Pallet's CAFE,,,,50/52 Marseille,non
Le jardin caché,,,,20 Marseille,non
Best Pizza,,,,1 Marseille,non
Tomo Sushi,,,,5,non
L'Un Des Sens,,,,5 Marseille,non
Nikki Sushi,,,,54 Marseille,non
Pizza Du Village,,,,2 Marseille,non
Le New First,,,,106 Marseille,non
Le Pacifique 2,,,,17 Marseille,non
Le Castel,,,,,non
Sumo Suhi Bar,,https://mysumo.fr/,+334 91 42 11 27,120,non
chez vallè,,,,,non
Les Trottoirs Marseillais,,,,,non
Le Carré,,,,,non
Court Circuit,,,,,non
Le Grand Pin,,,,430 Avenue de Mazargues,non
Le Petit Pondichery,,,+33 4 91 08 25 37,44 Boulevard Charles Guillaume Philippon Marseille,non
Noudjoum,,,,,non
Cirta,,,+33 491900253,,non
Saveur du Paradis,,,,,non
Wadina,,https://www.restaurantwadina.com/,+33 4 91 48 28 91;+33 6 21 89 46 32,,non
Chez Marylou,,https://www.facebook.com/maryloumarseille/,,,non
Le Soleil,,,,,non
La Passarelle,,,,,non
El Kahina,,,+33 4 91 01 46 71,,non
Le Royal,,,,,non
Le Capitole,,,,,non
Snack express,,,,,non
Friterie Werner & Co,,http://www.frieteriewernerandco.com,+33 6 89 90 58 14,Marseille,non
Pizza Napolita,,,,,non
O’Provencal,,,,7,non
Fleur de Sel,,,,3,non
Oaï,,,,40 Rue Sainte,non
Bistro Regent Marseille,,,,25,non
Le Melo,,,,,non
Chez Roger,,,,,non
Manureva,,,,9,non
Le Newport,,,,79/81,non
Down town,,,+33 4 91 66 67 92,32,non
Zaÿ Zaÿ,,https://www.instagram.com/zayzay.restaurant/,+33 4 91 31 61 69,134 Rue Paradis Marseille,non
Collins,,,,,non
Les Templiers,,,,,non
Le Mistral,,,,,non
O saveurs du Liban,,https://www.osaveursduliban.com/,,1 Marseille,non
Yasmine,,,,25,non
Bracelet d'argent,,,+33 4 91 90 58 61,,non
Black Friday,,,,,non
Le ventre de la baleine,contact@labaleinemarseille.com,https://labaleinemarseille.com/,,,non
Grill Boucherie,,,,,non
Aras,,,,,non
Bistro Vénitien,,,,,non
K'Fete du Monde,,http://aajt.fr/AAJT/index.php?p=k_fete_des_mondes,,,non
The Jungle,,,,,non
L'ancre du panier,,,,,non
Le Montmartre,,,,,non
Le vieux panier,,,,,non
Au Lampard,,,,,non
Cedar,,,,,non
La caveau su théâtre,,,,26 Place de Lenche,non
Chez PP,,,,,non
Bar Tranquille,,,,,non
Pastels World,,,,,non
Marmara,,,,,non
Les blés d'or,,,,,non
ô Nem,,http://onem.fr/,,,non
Chez Vincent,,,,,non
Bistrot O’Prado,,,+33 4 86 12 87 76,1,non
Oscar,,,,24,non
Le Debouche,,,,,non
La Cave d'Alexandre,,,,93,non
For'eat,,,,,non
Maison Buon,,https://www.maisonbuon.com/,,,non
Le Relais,,,,,non
La Capsule,,,,,non
Le 555,,,,,non
La Boucle,,,,,non
Le Pèbre d'Aï,,https://www.lepebredai.fr/,,,non
Au Jardin de la Clue,jardindelaclue@gmail.com,https://restaurantjardindelaclue.fr/,,,non
L’Equinoxe,,,,,non
Le Panier a Burgers,,,,,non
Bistrot 13B,,,,,non
Chez Nous,,,,,non
CornBread,,,,,non
Le Corto,,,,,non
Le Bistro Du Panier,,,,,non
BoboLivo,,,,,non
Mame Diarra,nom@domain.com,https://mame-diarra-marseille.fr/fr,+33 4 88 08 42 75,3O,non
ubud-bali,,,+33 6 67 94 21 68,,non
La Rôtisserie des Saveurs,,,+33660436228,130 Marseille,non
Le Filet de Bœuf,,,,,non
Planet Sushi,,,,,non
Vapiano,,,,20 Avenue du Prado,non
Wasabi,,,,,non
Marmites & Vapeur,,,,,non
Gold Eagles,,https://www.goldeagles.fr/,,,non
Le Tire-Bouchon,,,,,non
Bistro du Cours,contact@bistroducours.com,,+33 4 86 97 59 11,13 Marseille,non
120°C,,https://www.120c.fr,+33 4 91 75 54 91,,non
Restaurant Thien Huong,,,,,non
C'Thaï,,,,,non
Rendez-Vous,yurik.2013@hotmail.fr,https://rendezvous-traiteur.eatbu.com,,,non
l'Oleas,loleas.marseille@gmail.com,http://loleas.blogspot.com,+33491478373,Cours Julien,non
O’Bidul,,,+33491339378,79,non
Maracana pizzeria,,,,,non
Street Pizz',,,,,non
Monsieur Georges,,,+33 4 91 22 47 95,,non
L'Élite Istambul,,,,,non
Le Kilt,,,,,non
L'Escale,,,,,non
Le Lagon Bleu,,,,,non
Saona Beach,,,,,non
P.Kitchen,,,,,non
Hong Kong 3,,,,,non
Kitchenwok,,http://cafe-yushu.com/,,,non
Marinelli,,,,,non
Ô Beach,,,,,non
Boccascena,,,+33 4 91 89 76 29,,non
La Marmite Joyeuse,,https://www.marmitejoyeuse.org/,,33 Boulevard National,non
Le Comptoir Bellevue,,,,,non
Le Grand Comptoir de Paris,,,,,non
Les Trésors du Liban,,https://www.lestresorsduliban.fr/,+33 4 91 77 80 98,,non
La Passerellle,,,,,non
Le taxi,,,,,non
Casa Brandi chez Marco e Luigi,,,,,non
Les Amis,,,,,non
La Belle Étoile,,,,,non
Comptoir libanais,,,,,non
L'indécis,,,+33615071660,177,non
La Raclette,,,,,non
Volodia,,,,44,non
Maman Shelter,,,+33 4 84 35 20 00,64,non
Sud Pizza,,,+33 4 91 90 99 99,88,non
L'absinthe,,,+33 4 91 81 34 83,,non
Les Lanciers,,,,,non
O'Kwat,,,,,non
Dandy’o,,,,,non
Healthy by nature,,,,,non
La Pâte à Pizza,,,,,non
La Ola,,,+33 9 74 97 06 34,12 Rue Vian,non
Le petit jardin,,,,,non
La Diva,,,,,non
Amista,,,,,non
Pizzeria l'artisanale,,,,,non
La Piraterie,,,,,non
Delicia Rôtisserie,,,,,non
Romy,,,,,non
MyBurgerBox,,,,82 Marseille,non
Le Caribou,,,,,non
La Daurade,direction.daurade13001@gmail.com,https://www.la-daurade-restaurant-marseille.fr,+33491338242,8 Rue Fortia,non
Le miniut,,,,Marseille,non
Hippopotamus,,,+33 4 42 46 67 80,Chemin des Rigons Les Pennes-Mirabeau,non
Hako,,,,,non
Baan Thai,,,,,non
Maison Vauban,,,,,non
Ate Qu'enfim,,https://www.atequenfim-restaurant-portugais.fr/,+33 7 53 34 13 38,6 Marseille,non
Café Populaire,,https://fr-fr.facebook.com/cafe.populaire.3/,+33 4 91 02 53 96,110 Marseille,non
Restaurant du château,,,,,non
Tuba,harold@hbdc.fr,https://tuba-club.com/,+33 9 66 95 13 16,Boulevard Alexandre Delabre Marseille,non
Le Nautica des goudes,,,,,non
Restaurant Pizzeria du Roy d'Espagne,,https://www.thefork.fr/restaurant/restaurant-du-roy-d-espagne-r396933,+33 4 91 72 03 00,6 Marseille,non
Le Ziguinchor,,https://restaurant-ziguinchor.com/,+33 4 91 47 72 91,20,non
L'eau à la bouche,,,,,non
Langoustine,,,,,non
Pizzeria Chez Dédé,,,,,non
Lou Granjoun,,,,,non
Regard Café,,,,,non
Brasserie du littoral,,,,,non
Quanta Café,,,+33649800067,60 Marseille,non
Pizza TiTi,thierry.lopez8@gmail.com,https://www.pizza-titi.com/,+33611236567,,non
Chez Loury,,https://www.loury.com/,+33 4 91 33 09 73,,non
Crep' on fire,,,,,non
Long châu,,,,,non
Massilia Café,,,,,non
Mademoiselle Fifi,,,,,non
Le cochon terrible,,,,,non
Ctc Artisan Restaurateur - Le Campus,,,,,non
Courtepaille,,,,,non
Ibis Marseille Timone,,,,,non
